START2_OP020_V_1angle,START2_OP020_V_1torque,START2_OP020_V_2angle,START2_OP020_V_2torque,START2_OP040_Vision_cosseprog,START2_OP050_Vision_paliermodel,START2_OP050_Vision_palierpresencedouille,START2_OP060_Vision_tirantcouleur,START2_OP070_V_1angle,START2_OP070_V_1prog,START2_OP070_V_1torque,START2_OP070_V_2angle,START2_OP070_V_2prog,START2_OP070_V_2torque,START2_OP080_Vision_rondelleprog,START2_OP090_MaxMidForceLimit,START2_OP090_MinMidForceLimit,START2_OP090_SnapRingFinalStroke,START2_OP090_SnapRingMidPointForce,START2_OP090_SnapRingPeakForce,START2_OP090_StartLinePeakForce,START2_OP100_Capuchon_insertionmesure,START2_OP110_Vissage_M8angle,START2_OP110_Vissage_M8prog,START2_OP110_Vissage_M8torque,START2_OP120_RodageI_mesure,START2_OP120_RodageU_mesure
35.1,3.78,37.4,3.77,700.0,2.0,1.0,1.0,144.1,7.0,6.44,144.1,7.0,6.44,7.0,140.0,50.0,11.58,78.73,137.7,27.91,0.41,15.0,1.0,12.14,114.68,11.97
35.2,3.75,33.2,3.75,1300.0,2.0,1.0,1.0,153.5,7.0,6.43,160.0,7.0,6.4,13.0,140.0,50.0,12.12,71.78,135.23,16.29,0.23,23.8,1.0,12.25,120.63,11.97
46.1,3.79,36.1,3.77,1100.0,2.0,1.0,1.0,131.1,7.0,6.44,124.2,7.0,6.43,11.0,140.0,50.0,11.92,67.03,161.63,20.99,0.12,16.8,1.0,12.17,142.24,11.97
35.0,3.76,43.7,3.79,1300.0,2.0,1.0,1.0,147.1,7.0,6.4,150.6,7.0,6.41,13.0,140.0,50.0,11.93,76.06,123.96,23.47,0.23,18.5,1.0,12.19,116.94,11.97
44.9,3.76,31.9,3.79,700.0,2.0,1.0,1.0,163.1,7.0,6.42,151.0,7.0,6.41,7.0,140.0,50.0,11.59,62.3,126.82,35.31,0.41,13.5,1.0,12.18,120.41,11.97
52.7,3.77,48.1,3.77,300.0,1.0,1.0,2.0,95.0,8.0,6.62,104.4,8.0,6.63,3.0,140.0,50.0,11.8,92.81,204.51,29.38,0.54,30.5,2.0,9.57,123.79,11.97
36.5,3.75,48.2,3.79,400.0,1.0,1.0,2.0,102.0,8.0,6.62,115.6,8.0,6.6,4.0,140.0,50.0,12.01,96.68,186.63,34.06,0.42,63.0,1.0,12.04,141.87,11.97
36.1,3.77,43.5,3.78,400.0,1.0,1.0,2.0,106.6,8.0,6.62,111.8,8.0,6.62,4.0,150.0,50.0,11.78,108.38,188.99,44.63,0.4,59.5,1.0,12.09,135.7,11.97
38.4,3.75,39.7,3.77,1300.0,2.0,1.0,1.0,146.4,7.0,6.42,156.7,7.0,6.41,13.0,140.0,50.0,11.75,90.53,190.92,21.43,0.22,13.8,1.0,12.24,106.89,11.97
32.1,3.76,36.3,3.79,1000.0,2.0,1.0,1.0,127.2,7.0,6.4,149.0,7.0,6.4,10.0,140.0,50.0,11.88,104.57,213.86,27.23,0.59,25.1,1.0,12.11,120.43,11.97
