START2_OP020_V_1angle,START2_OP020_V_1torque,START2_OP020_V_2angle,START2_OP020_V_2torque,START2_OP040_Vision_cosseprog,START2_OP050_Vision_paliermodel,START2_OP050_Vision_palierpresencedouille,START2_OP060_Vision_tirantcouleur,START2_OP070_V_1angle,START2_OP070_V_1prog,START2_OP070_V_1torque,START2_OP070_V_2angle,START2_OP070_V_2prog,START2_OP070_V_2torque,START2_OP080_Vision_rondelleprog,START2_OP090_MaxMidForceLimit,START2_OP090_MinMidForceLimit,START2_OP090_SnapRingFinalStroke,START2_OP090_SnapRingMidPointForce,START2_OP090_SnapRingPeakForce,START2_OP090_StartLinePeakForce,START2_OP100_Capuchon_insertionmesure,START2_OP110_Vissage_M8angle,START2_OP110_Vissage_M8prog,START2_OP110_Vissage_M8torque,START2_OP120_RodageI_mesure,START2_OP120_RodageU_mesure
35.7,3.76,49.1,3.78,300.0,1.0,1.0,2.0,111.7,8.0,6.61,110.1,8.0,6.61,3.0,140.0,50.0,11.6,71.52,122.23,20.57,0.55,34.7,2.0,9.54,126.96,11.97
47.2,3.77,50.3,3.76,30.0,1.0,1.0,2.0,106.0,8.0,6.6,111.4,8.0,6.6,3.0,140.0,50.0,11.82,67.38,163.78,18.73,0.55,38.7,2.0,9.54,133.88,11.97
52.7,3.78,40.4,3.78,300.0,1.0,1.0,2.0,103.4,8.0,6.64,112.1,8.0,6.62,3.0,140.0,50.0,11.86,89.09,207.73,26.39,0.55,30.2,2.0,9.66,135.28,11.97
34.9,3.77,34.9,3.78,1000.0,2.0,1.0,1.0,146.0,7.0,6.42,133.0,7.0,6.42,10.0,140.0,50.0,11.47,93.45,177.31,25.73,0.59,17.6,1.0,12.06,116.51,11.97
50.0,3.77,41.9,3.75,400.0,1.0,1.0,2.0,115.8,8.0,6.63,130.5,8.0,6.61,4.0,140.0,50.0,11.88,85.17,174.73,21.5,0.42,52.0,1.0,12.12,140.92,11.98
34.9,3.75,32.1,3.78,7.0,2.0,1.0,1.0,147.2,7.0,6.41,157.9,7.0,6.4,7.0,140.0,50.0,11.65,75.53,147.62,44.69,0.41,17.0,1.0,12.16,117.53,11.97
30.6,3.75,48.4,3.77,300.0,1.0,1.0,2.0,92.7,8.0,6.62,115.8,8.0,6.6,3.0,140.0,50.0,11.74,91.41,188.79,33.5,0.54,32.8,2.0,9.61,133.02,11.97
44.9,3.76,49.8,3.75,300.0,1.0,1.0,2.0,96.6,8.0,6.62,103.7,8.0,6.6,3.0,140.0,50.0,11.9,91.99,225.7,27.52,0.54,26.1,2.0,9.6,136.84,11.97
35.6,3.8,34.3,3.79,1300.0,2.0,1.0,1.0,143.5,7.0,6.42,163.0,7.0,6.42,13.0,140.0,50.0,11.75,88.64,186.74,26.87,0.23,14.3,1.0,12.28,115.13,11.97
31.5,3.79,32.8,3.77,700.0,2.0,1.0,1.0,149.9,7.0,6.41,155.1,7.0,6.42,7.0,140.0,50.0,11.54,76.29,124.27,27.53,0.4,11.1,1.0,12.32,112.94,11.97
37.0,3.77,34.1,3.79,1300.0,2.0,1.0,1.0,142.4,7.0,6.42,169.8,7.0,6.42,13.0,140.0,50.0,11.76,84.81,169.92,21.06,0.22,16.1,1.0,12.12,117.84,11.97
31.5,3.77,39.1,3.77,1300.0,2.0,1.0,1.0,155.1,7.0,6.42,144.7,7.0,6.41,13.0,140.0,50.0,11.79,83.45,177.06,25.69,0.23,19.5,1.0,12.22,129.69,11.97
33.1,3.77,45.2,3.77,700.0,2.0,1.0,1.0,147.7,7.0,6.43,149.7,7.0,6.42,7.0,140.0,50.0,11.6,69.19,140.83,44.35,0.42,16.0,1.0,12.22,117.96,11.97
29.8,3.77,33.4,3.78,1300.0,2.0,1.0,1.0,157.0,7.0,6.41,157.2,7.0,6.4,13.0,140.0,50.0,11.76,108.64,204.41,37.16,0.24,14.1,1.0,12.13,117.91,11.97
50.9,3.75,45.0,3.79,300.0,1.0,1.0,2.0,105.7,8.0,6.61,110.9,8.0,6.61,3.0,140.0,50.0,12.3,117.55,198.82,37.88,0.55,35.8,2.0,9.69,134.96,11.97
47.9,3.78,38.3,3.77,30.0,1.0,1.0,2.0,105.8,8.0,6.62,115.2,8.0,6.6,3.0,140.0,50.0,12.31,101.08,189.85,30.49,0.55,31.2,2.0,9.51,136.72,11.97
30.9,3.79,37.7,3.8,1300.0,2.0,1.0,1.0,156.4,7.0,6.4,166.2,7.0,6.42,13.0,140.0,50.0,11.92,69.79,111.79,17.11,0.22,11.3,1.0,12.1,120.27,11.97
50.7,3.8,36.1,3.77,300.0,1.0,1.0,2.0,96.8,8.0,6.64,107.6,8.0,6.6,3.0,140.0,50.0,11.53,76.87,114.87,17.48,0.54,35.3,2.0,9.55,135.93,11.97
41.1,3.78,40.7,3.76,700.0,2.0,1.0,1.0,155.3,7.0,6.44,156.0,7.0,6.4,7.0,140.0,50.0,11.57,61.38,129.87,27.71,0.41,17.5,1.0,12.23,109.53,11.97
31.6,3.78,33.4,3.78,1300.0,2.0,1.0,1.0,128.3,7.0,6.43,168.0,7.0,6.42,13.0,140.0,50.0,11.74,96.76,171.82,26.18,0.23,15.0,1.0,12.22,122.75,11.97
45.9,3.77,47.1,3.78,300.0,1.0,1.0,2.0,97.2,8.0,6.62,104.5,8.0,6.6,3.0,140.0,50.0,11.84,86.33,210.44,24.23,0.54,31.2,2.0,9.59,134.46,11.97
47.8,3.8,44.5,3.78,300.0,1.0,1.0,2.0,94.5,8.0,6.64,95.5,8.0,6.6,3.0,140.0,50.0,12.28,112.45,200.0,41.69,0.55,35.1,2.0,9.63,132.6,11.97
34.1,3.75,34.5,3.77,700.0,2.0,1.0,1.0,147.1,7.0,6.42,153.7,7.0,6.41,7.0,140.0,50.0,11.58,73.52,123.11,44.38,0.41,19.3,1.0,12.27,121.34,11.97
39.8,3.78,32.5,3.79,1300.0,2.0,1.0,1.0,119.7,7.0,6.42,146.3,7.0,6.4,13.0,140.0,50.0,11.75,97.68,191.68,26.07,0.22,14.3,1.0,12.15,118.71,11.97
30.9,3.8,32.7,3.78,700.0,2.0,1.0,1.0,152.7,7.0,6.44,145.9,7.0,6.42,7.0,140.0,50.0,11.68,82.15,139.73,25.44,0.41,26.3,1.0,12.24,114.66,11.97
44.5,3.79,41.5,3.77,1000.0,2.0,1.0,1.0,128.4,7.0,6.4,146.3,7.0,6.4,10.0,140.0,50.0,11.86,99.02,207.09,32.82,0.59,24.7,1.0,12.15,120.78,11.97
34.1,3.77,36.3,3.78,300.0,1.0,1.0,2.0,112.2,8.0,6.6,127.9,8.0,6.61,3.0,140.0,50.0,11.72,84.49,194.71,29.65,0.55,35.7,2.0,9.58,136.75,11.97
32.7,3.79,34.4,3.77,1300.0,2.0,1.0,1.0,130.4,7.0,6.42,146.2,7.0,6.43,13.0,140.0,50.0,11.93,79.31,148.94,26.39,0.23,28.6,1.0,12.24,118.65,11.97
37.2,3.78,37.8,3.77,700.0,2.0,1.0,1.0,157.2,7.0,6.41,149.4,7.0,6.42,7.0,140.0,50.0,11.6,81.75,125.34,29.32,0.42,19.6,1.0,12.23,112.86,11.97
34.2,3.77,34.9,3.79,1300.0,2.0,1.0,1.0,163.7,7.0,6.42,144.8,7.0,6.41,13.0,140.0,50.0,11.89,79.73,186.05,22.11,0.23,23.7,1.0,12.22,125.49,11.97
34.0,3.78,45.2,3.79,300.0,1.0,1.0,2.0,103.4,8.0,6.61,121.0,8.0,6.6,3.0,140.0,50.0,11.74,106.64,204.65,51.26,0.55,33.5,2.0,9.52,135.18,11.97
26.9,3.78,36.7,3.78,700.0,2.0,1.0,1.0,136.1,7.0,6.4,158.0,7.0,6.4,7.0,140.0,50.0,11.69,71.79,134.38,37.14,0.41,19.9,1.0,12.18,114.66,11.97
38.6,3.77,30.7,3.78,700.0,2.0,1.0,1.0,165.6,7.0,6.42,158.2,7.0,6.41,7.0,140.0,50.0,11.59,65.51,137.39,27.33,0.41,12.9,1.0,12.19,116.97,11.97
51.0,3.75,47.4,3.8,300.0,1.0,1.0,2.0,100.7,8.0,6.6,104.5,8.0,6.61,3.0,140.0,50.0,11.82,74.62,169.43,22.15,0.54,30.1,2.0,9.59,138.57,11.97
33.5,3.77,34.4,3.79,1300.0,2.0,1.0,1.0,146.1,7.0,6.42,173.3,7.0,6.41,13.0,140.0,50.0,11.93,73.1,136.77,22.65,0.23,18.6,1.0,12.14,115.29,11.97
51.5,3.76,47.7,3.77,300.0,1.0,1.0,2.0,104.9,8.0,6.62,96.8,8.0,6.6,3.0,140.0,50.0,11.59,69.65,137.08,33.23,0.54,25.7,2.0,9.63,128.54,11.97
28.8,3.78,37.9,3.78,7.0,2.0,1.0,1.0,158.8,7.0,6.41,145.7,7.0,6.4,7.0,140.0,50.0,11.58,81.4,131.18,25.73,0.41,12.2,1.0,12.2,113.8,11.97
27.9,3.75,34.6,3.78,1300.0,2.0,1.0,1.0,153.5,7.0,6.44,133.1,7.0,6.43,13.0,140.0,50.0,11.92,70.62,102.66,21.65,0.23,19.7,1.0,12.21,118.06,11.97
47.4,3.79,42.7,3.77,4.0,1.0,1.0,2.0,113.5,8.0,6.62,123.7,8.0,6.61,4.0,150.0,50.0,11.92,107.34,181.63,38.02,0.4,56.2,1.0,12.0,138.67,11.98
43.6,3.75,43.6,3.79,30.0,1.0,1.0,2.0,111.7,8.0,6.62,101.0,8.0,6.6,3.0,140.0,50.0,11.47,87.84,181.26,23.72,0.54,35.4,2.0,9.55,137.64,11.97
34.5,3.79,34.2,3.79,1300.0,2.0,1.0,1.0,128.8,7.0,6.42,159.7,7.0,6.41,13.0,140.0,50.0,11.78,78.35,198.8,22.05,0.23,13.8,1.0,12.22,117.81,11.97
52.8,3.78,50.3,3.77,300.0,1.0,1.0,2.0,102.8,8.0,6.61,114.8,8.0,6.62,3.0,140.0,50.0,11.75,87.16,216.57,23.4,0.55,31.3,2.0,9.52,126.15,11.97
34.1,3.77,33.8,3.76,700.0,2.0,1.0,1.0,138.5,7.0,6.43,147.2,7.0,6.43,7.0,140.0,50.0,11.59,77.28,122.73,39.15,0.42,20.6,1.0,12.16,116.68,11.97
49.1,3.77,50.8,3.77,300.0,1.0,1.0,2.0,112.4,8.0,6.63,119.9,8.0,6.62,3.0,140.0,50.0,11.83,72.45,169.45,23.42,0.55,36.6,2.0,9.59,139.4,11.97
33.4,3.79,42.5,3.77,1000.0,2.0,1.0,1.0,141.4,7.0,6.44,150.3,7.0,6.42,10.0,140.0,50.0,11.76,101.18,188.04,67.57,0.59,10.5,1.0,12.14,120.53,11.97
26.3,3.79,34.8,3.79,700.0,2.0,1.0,1.0,145.6,7.0,6.42,161.6,7.0,6.42,7.0,140.0,50.0,11.7,74.66,149.11,35.93,0.41,10.0,1.0,12.24,114.88,11.97
52.3,3.79,48.7,3.77,300.0,1.0,1.0,2.0,97.5,8.0,6.6,111.1,8.0,6.6,3.0,140.0,50.0,11.79,111.77,190.46,40.79,0.54,29.5,2.0,9.6,141.17,11.97
